
9 --------------------------------
[95, -44, 22, -16, 53, 74, -19, -60, -19, -100, 69, 87]
[95, -44, 22, -16, 53, 74, -19, -60, -19, 24, -53, 87]
[95, -44, -13, -16, 53, 74, -19, -60, 34, 48, -53, 87]
[95, -44, 22, -16, 53, -60, -19, 93, 34, 48, -53, 87]
[95, -44, 22, -82, 53, -36, -19, -60, -100, 24, 69, 87]
[95, -44, 22, -82, 53, -36, -19, -60, -27, 24, 69, -57]
[95, -9, -86, -10, 53, 74, -19, 93, 34, 48, -53, 87]
[95, -44, 22, -16, 53, -60, -19, 93, 34, 48, -53, 87]
[95, -9, -86, -16, 53, 74, -19, -60, -27, 24, 69, -57]
[95, -44, 22, -16, 53, 74, -19, -60, -19, 24, 69, -57]

10 --------------------------------
[95, -9, -86, -68, 53, 74, -19, -60, -27, 24, 69, -57]
[95, -44, 22, -16, 53, 74, -19, -60, -19, 24, 69, -57]
[37, -9, -86, -10, 53, 74, -19, 93, 34, 48, -53, 87]
[95, -9, -86, -10, 53, 74, -19, 93, 34, 48, -53, -57]
[95, -44, 36, -16, 53, -60, -19, 93, 34, 48, -53, 87]
[95, -9, -86, -16, 53, 74, -19, -60, -27, 24, 69, -57]
[95, -44, 22, -16, 53, -60, -19, 93, 34, 24, 69, -57]
[95, -44, 22, -82, 48, -36, -19, -60, -100, 24, 69, -57]
[95, -44, 22, -82, 53, 74, -19, -60, -27, 24, 69, -57]
[95, -44, 22, -16, 53, -60, -19, 93, 34, 48, -53, 87]

11 --------------------------------
[95, -44, 22, -82, 53, 74, -19, -60, -27, 24, 69, 87]
[95, -44, 22, -82, 48, -36, -19, -60, -100, 24, -53, 87]
[95, -44, 22, -16, 53, -36, -19, -60, -100, 24, 69, -57]
[95, -44, 22, -82, 48, -36, -19, -60, -100, 24, 69, -57]
[95, -9, -86, -16, 53, -36, -19, -60, -100, 24, 69, -57]
[95, 29, 22, -16, 53, -60, -19, 93, 34, 48, -53, 87]
[95, -9, -86, -16, 53, -65, -19, -60, -19, 24, 69, -57]
[37, -9, -86, -10, 53, -60, -19, 93, 34, 24, 69, -57]
[37, -9, 22, -82, 53, 74, -19, 71, -27, 24, 69, -57]
[95, -44, 36, -16, 53, -60, -19, 93, 34, 48, -53, 87]

